한국정보과학회,7
ISEA (International Symposium on Electronic Art),3
ISUVR,8
ICWSM,6
한국 사회 및 성격심리학회,3
한국복잡계학회,5
IASDR,6
IEEE International Conference on Social Computing,3
International Society for Musical Information Retrieval Conference (ISMIR),6
International Symposium on Social Computing Applications (SCA),3
KHCI,3
ICDIM,3
Digital Heritage,4
NODEM,3
International Congress on Sound and Vibration,7
International Conference on Music Perception and Cognition (ICMPC),4
ISMAR,12
KJMR,4
NetSci,31
Pacific Graphics,10
한국공학예술학회,3
CGI,7
한국패션디자인학회,8
HCI International,32
International Conference on the Arts in Society,4
International World Wide Web Conference (WWW),3
SIGGRAPH,10
Sound and Music Computing Conference,5
CHI,15
European Conference on Complex Systems (ECCS),3
Asia-Pacific Advanced Network,3
한국게임학회,15
IEEE 3DUI,4
International Symposium on Electronic Art,3
eCAADe Conference,6
INFORMS Marketing Science Conference,5
한국컴퓨터그래픽스학회,11
IEEE VIS,3
Asian Workshop on User Interface,4
HCI Korea,59
디지털 스토리텔링 컨퍼런스,3
International Symposium on Ubiquitous Virtual Reality,3
Acoustics,3
KSNVE Annual Conference,6
CSCW,4
NIME,8
Workshop on Complex Networks,4
CAADRIA,9
HCI,15
